filename,page_number,chunk_number,chunk
Python Ethical Hacking from Scratch.pdf,28,5,"P , business plans, patents, financial data, and customer data, to gain a competitive edge. These attacks can come from competitors directly or they can hire professional hackers for this purpose. These types of hackers usually fall in the black hat category. However, due to the nature of hacks, they are sometimes classified into a category of their own. The only difference in corporate hackers is that their primary target is usually their competitor, while in other cases the target could be anyone."
Python Ethical Hacking from Scratch.pdf,29,1,"16 Introduction to Hacking Hacktivists Aim: To make a political/social statement. Hacktivist is a term combining the words activist and hacker . These types of attacks are usually carried out in order to make a political statement. The aim of these hackers is to make a call for social change or to bring attention to some issue. In contrast to black hat hackers, who try to be as discreet as possible, hacktivists try to gain maximum attention while hidi"
Python Ethical Hacking from Scratch.pdf,29,2,"ng their real identity. Their goal is to spread their message to the masses. In the majority of hacktivism cases, there is no financial motivation for the hackers. They use the same tools and techniques as other hackers. Hacktivism is the digital equivalent of a political protest. With changing political dynamics, politics is making inroads into the digital space and hacktivism provides a pathway for some people to make their statement. Hacktivists us"
Python Ethical Hacking from Scratch.pdf,29,3,"e different methods to attract attention. Sometimes they disrupt services, for example, carrying out a DoS attack on a company or government website. Other times, they gain access to critical and sensitive information and leak this classified information to the public, causing significant embarrassment for the government or company. One of the major leaks in recent years is the WikiLeaks fiasco. One thing that should be noted here is that from a legal"
Python Ethical Hacking from Scratch.pdf,29,4," perspective, there is no difference between hacktivism and black hat hacking. Even if you are participating in some activity for a noble cause and you get caught, you will be tried for the same crimes as a black hat hacker. Therefore, a lot of hackers tend to stay anonymous and use pseudonyms for their activism. One of the most famous hacking organizations associated with hacktivism is Anonymous . They have allegedly carried out numerous attacks agai"
Python Ethical Hacking from Scratch.pdf,29,5,nst different governmental organizations to state their sympathy to a cause or opposition to certain legislation. Anonymous calls itself a decentralized organization with people coming together to support a common cause. They have often been dubbed as freedom fighters and the Robin Hood of the digital paradigm. The decentralized nature of this collective means that it has become very hard to crack down on it: Figure 1.6 – Emblem associated with Anonymous
Python Ethical Hacking from Scratch.pdf,30,1,"Types of hackers 17 Different individuals and small organizations have claimed responsibility for managing the operations of this organization; however, the true nature of this organization remains a mystery. There are other organizations as well, such as LulzSec and Fancy Bear, whose operations are much more dedicated in nature and have caused significant difficulties for cybersecurity professionals. Scriptkiddies In cybe"
Python Ethical Hacking from Scratch.pdf,30,2,"rsecurity spaces, the term script kiddie refers to beginner hackers who do not have in-depth knowledge about cybersecurity or hacking in general. They often tend to use prebuilt tools for hacking purposes much like a black box approach. They don't essentially know how the hacking tool works internally but they just use it. Script kiddies sometimes lack programming knowledge to build their own tools and rely on existing tool"
Python Ethical Hacking from Scratch.pdf,30,3,"s for hacking purposes. The term script kiddie comes from the fact that they use pre-built scripts or programs to carry out attacks. Script kiddies often acquire a hacking tool such as a reverse shell and deploy it by watching internet tutorials. Their goal is not to learn the process but the final objective, which is to take control of the target system. As long as the tool works, they are not interested in how it works. A"
Python Ethical Hacking from Scratch.pdf,30,4," common mistake often made by cybersecurity professionals is to not take script kiddies seriously. A well-deployed attack even from a script kiddie can cause huge damage to the assets. For an attacker to carry out a successful attack, they do not have to know every detail of the script they are using. Just the right angle of attack is sufficient to carry out a successful attack. There are a huge number of tools available on"
Python Ethical Hacking from Scratch.pdf,30,5,"line both free and paid that could help someone to carry out attacks. There are hacking organizations that make these tools especially to sell them to script kiddies for carrying out attacks. So, do not think that someone with little knowledge about developing tools is not a threat. In fact, they are as much of a threat as an experienced hacker. The success of an attack depends on both the attacker as well as the tools used."
Python Ethical Hacking from Scratch.pdf,31,1,"18 Introduction to Hacking Hacking phases and methodology With the required knowledge obtained, the process of hacking begins. Like any other "
Python Ethical Hacking from Scratch.pdf,31,2,"well- organized task, hacking has its own sequence of steps that need to be followed to carry out a successful attack. Real-life hacking is a "
Python Ethical Hacking from Scratch.pdf,31,3,"painstaking process and requires a lot of work. From gathering information to attacking to covering your tracks, each step needs to be execute"
Python Ethical Hacking from Scratch.pdf,31,4,d perfectly. One lapse could potentially expose your identity and compromise the whole process. Figure 1.7 shows the different phases of hacki
Python Ethical Hacking from Scratch.pdf,31,5,"ng that will be discussed in detail: Figure 1.7 – Hacking steps In the following sections, we are going to take a look at each step, in detail."
Python Ethical Hacking from Scratch.pdf,32,1,"Hacking phases and methodology 19 Planning The first step of anything is proper planning. Time spent on proper planning could potentially save a lot of time wasted due to improper planning. The importance of planning cannot be stressed enough. In the following chapter, we will focus on penetration testing methodology, that is, testing how easy it is to penetrate a system or a network. We will perform an attack on a fiction organization called Famous Organization Limited and inside the organization, we wil"
Python Ethical Hacking from Scratch.pdf,32,2,"l focus on a fictional person, let's call him Mr. Target . In a professional penetration testing scheme, you will need to create a proper workflow in the planning process and maintain all the relevant information obtained during the process in an orderly manner to be used for reporting purposes. The next step is to identify the target person or system to be attacked. From a penetration testing point of view, here we will define the scope of the test, what it encompasses, its limitations, and the like. Bef"
Python Ethical Hacking from Scratch.pdf,32,3,"ore penetration testing is performed, we should make sure that the system under test is ready for testing. This includes ensuring that testing would not cause a breakdown of the critical infrastructure of an organization. Before starting the penetration testing program, it should also be clearly mentioned who will be performing the attack and what kind of oversight will be present. The boundaries of what the penetration test includes and what is not included should be clearly defined. Test objectives and "
Python Ethical Hacking from Scratch.pdf,32,4,"timelines should be properly mentioned beforehand. Penetration testing should be aligned with the company's objectives. In some cases, simulated scenarios are also tested where we want to see how an attack would impact the company's day-to-day operations. The planning stage should also determine what kind of penetration test is required. Reconnaissance Once the target has been identified and the planning stage is completed, we move forward to starting the penetration testing process. In the simplest terms"
Python Ethical Hacking from Scratch.pdf,32,5,", reconnaissance means gathering information about the target individual as well as the organization. Before any penetration attack is carried out, our goal would be to gain as much information about the target as we can. The more information we have about the target, the more opportunities we have to carry out a successful attack. There are two methods of information gathering, listed as follows: • Passive information gathering • Active information gathering Let's study them in the following sub-sections."
Python Ethical Hacking from Scratch.pdf,33,1,"20 Introduction to Hacking Passive reconnaissance Passive reconnaissance, as the name indicates, is a method of gathering information about the target individual and company by means of passive sources, without directly interacting with the intended target. This is the safest form of information gathering because there is no interaction with the target so it cannot be traced back to you. Passive reconnaissance includes gathering information from public sources. This could include gathering information available o"
Python Ethical Hacking from Scratch.pdf,33,2,"n the internet. Passive information itself is usually harmless, but combined with attack vectors, it can be exploited. For example, let's say that you visit the social media profile of the target and find out that the person is very interested in dogs. This information itself is not very useful. But if you send them an email containing a phishing link (phishing will be explained in a moment) containing some information about dogs, it is more likely that the target will click on this link and eventually compromise"
Python Ethical Hacking from Scratch.pdf,33,3," the system. Passive reconnaissance is usually done through search engines and public databases. Passive reconnaissance is much slower and usually gives limited technical data about the target. Although it is slower, the risk of getting caught in passive reconnaissance is very low. Active reconnaissance In active reconnaissance, you engage with the target directly, either personally or through the computer. Active reconnaissance is much faster and gives a lot of information about the target, albeit at the cost of"
Python Ethical Hacking from Scratch.pdf,33,4," higher risk. Active reconnaissance includes finding information about the system used by the target as well as other technical specifications associated with the target's system. The following is a list of the most used information sought in active reconnaissance; however, this is not a comprehensive list: • IP address: The internet protocol address of the target, both private and public. • MAC address: Field identifying the hardware interface used by the target to connect to the network. • Ports : Port scanning"
Python Ethical Hacking from Scratch.pdf,33,5," is one of the most frequently used tools in active reconnaisance. Open ports in the system can be used for initiating a connection with the target without their knowledge. • Services/software running on the target machine: Having knowledge of the different services running on a target could be a good starting point for initiating attacks. If a service running on the target has a known vulnerability, it could be easily exploited. • Operating system fingerprinting: Determining the operating system used by the target."
Python Ethical Hacking from Scratch.pdf,34,1,"Hacking phases and methodology 21 These are the most common pieces of information sought in active reconnaissance. Y ou should be very careful with active reconnaissance. Make sure that your identity is completely hidden while performing active reconnaissance. Most modern systems have intrusion detection systems (IDSes). They often keep a log of every attempt made to scan the system. If you are not anonymous, your identity can "
Python Ethical Hacking from Scratch.pdf,34,2,"be easily revealed. Firewalls and IDSes often block unwanted port scans. Scanning As mentioned, scanning includes getting technical information about network topology and the target. Understanding the network topology helps you to pivot once you have gained access to the system. Creating a list of active hosts along with the target machine is an important aspect of the scanning process. Detecting firewalls and routers in the ne"
Python Ethical Hacking from Scratch.pdf,34,3,"twork can also be helpful. One of the main goals of scanning is to identify vulnerabilities, either by finding open ports or detecting vulnerable services running on the system. A lot of commercial tools are available for scanning purposes. One of the most famous tools for network reconnaissance is NMAP . NMAP has a Python API that could be used to create automated scanning testing. We will discuss some examples of using the NM"
Python Ethical Hacking from Scratch.pdf,34,4,"AP API in Python in later sections. Network and port scanning are very noisy processes in terms of generating a lot of network requests. Modern IDSes are very quick to detect them. This means that the slower the scanning process is, the more chance there is of it being successful. Sweeping the network to detect live hosts is one example of this. Application services and version detection are also considered an important aspect "
Python Ethical Hacking from Scratch.pdf,34,5,"of network scanning, though it is a more complicated task. A packet sniffer is another tool that helps you to monitor network traffic. If you are connected to the same network as the target, it can provide insights into the network traffic, which could help to identify potential opportunities for attack. One of the most famous and free network sniffing tools is Wireshark. It helps you to monitor and see network traffic in detail."
Python Ethical Hacking from Scratch.pdf,35,1,"22 Introduction to Hacking Identifyingweaknesses Network scanning and reconnaissance would give you a lot of information. It is necessary that you keep track of all the information obtained in a structured manner, which would help you to identify relevant information. In practical cases, hackers work on information gathering for an extended period lasting from a few months to even years. Once you are confident that you have sufficient information, you can pro"
Python Ethical Hacking from Scratch.pdf,35,2,"ceed forward to the next step, which is identifying weaknesses. This step includes examining all the information obtained in the previous step and determining which information could be useful for carrying out an attack. Attackingandgainingaccess Once you have identified the weaknesses, the next step is to start thinking about an attack strategy. There is no hard definition of what an attack strategy would look like. If you want to gain control of the remot"
Python Ethical Hacking from Scratch.pdf,35,3,"e system via the command line, you can use either a forward shell or a reverse shell. Most operating systems in use today provide a command-line interface to their functionalities. In Windows, you can access it through the Cmd.exe or powershell.exe programs. In the case of Linux, you can use Bash. Y ou can execute nearly any task on the operating system with the command-line interface and therefore having a command line or command-line interface to the target "
Python Ethical Hacking from Scratch.pdf,35,4,"is extremely dangerous. If you have a command-line process running on the target machine that you can control on your own system, you can essentially do anything with the victim/target machine. Forwardshell In the forward shell, the attacker tries to initiate a connection to the target machine. In modern systems, this type of strategy is quite hard as IDSes and firewalls of the target system usually block all unwanted incoming connections unless otherwise spe"
Python Ethical Hacking from Scratch.pdf,35,5,"cified in the firewall rules. This makes this strategy quite difficult to execute. Reverse shell In a reverse shell, the attacker plants the malware program into the system in some manner and then once the program is executed on the victim's machine, it initiates a connection back to the hacker, thus giving them full control. These attacks are quite successful since it is very hard for an IDS to differentiate between a legitimate process and a malicious process."
Python Ethical Hacking from Scratch.pdf,36,1,"Hacking phases and methodology 23 Attacks can also be carried out by exploiting some vulnerability in software running on the target machine. There are a lot of online resources that explain how you can create a payload (a piece of code that performs a malicious operation) and execute it on the target machine. One of the most widely used tools in this domain is Metasploit . It contains tons of preloaded exploits; once you have detected that a vulnerable service is running on the target PC, you can use Metasploit to create paylo"
Python Ethical Hacking from Scratch.pdf,36,2,"ads that can be delivered to the target machine to gain access to these systems. Maintaining access Once you have entered the target machine, the goal should be to maintain persistent access to these systems. Hackers try to maintain access to the system for as long as possible without being detected. There are a lot of reasons why hackers would compromise a system. Sometimes they just gain access to a system to use it as a launchpad to attack other system infrastructure; in this case, they are usually not very concerned about b"
Python Ethical Hacking from Scratch.pdf,36,3,"eing detected while carrying out something such as a Distributed Denial of Service (DDoS ) attack from compromised machines. In other cases, they would stay on the compromised system in stealth mode, watching every activity and sometimes stealing data. Using sniffers, attackers could easily monitor network traffic, which can be very dangerous for the victims. Once the attacker gets into a system with very primitive access, their immediate goal is to increase their access deep into the network or a system. This would ensure that"
Python Ethical Hacking from Scratch.pdf,36,4," the attacker has long-term access to the victim/target machine, and they can control it whenever they want. Another important aspect of maintaining long-term access is pivoting, in which you attack other machines present in the same local area network. This helps the attacker to maintain a strong foothold in the network and makes it difficult for the IDS to clean the tracks of the attacker. Postexploitation Once you have gained basic system access, it is always a good idea to enhance your access levels. For example, you can g"
Python Ethical Hacking from Scratch.pdf,36,5,"et basic user-level access to the system by exploiting a system vulnerability; however, most of the time, this kind of access will be very limited in nature and would not help you to penetrate further into the system. For example, in Windows, you cannot disable an antivirus or IDS using user-level privileges; you need to be an administrator in order to do this. In later sections, we will learn how to increase your access level from a normal user to a system admin, which would virtually give you complete control over the system."
Python Ethical Hacking from Scratch.pdf,37,1,"24 Introduction to Hacking Covering tracks Covering tracks is an essential aspect of a successful penetration testing attack. In cybersecurity, the incident response team are the individuals whose goal is to limit the extent of the attack and provide restoration operations to the services. Once the hacker achieves their objectives, they should cover their tracks completely; otherwise, they can be easily detected by forensics. Common methods of covering trac"
Python Ethical Hacking from Scratch.pdf,37,2,"ks include removing logs and temporary files created during the attack phase and cleaning registry entries, caches, and in some cases browser history. A penetration tester should also be aware of logging mechanisms related to different operating systems. For example, the Windows operating system maintains the record of recently accessed and modified files using jump lists . Digital forensic experts use these technologies to determine the attacker and the ex"
Python Ethical Hacking from Scratch.pdf,37,3,"tent of the attack on the system. A lot of open source tools are available on the internet for covering tracks that perform a very good job at hiding your identity. For example, in Metasploit , you can use scripts such as clearv to clear up all event logs on Windows machines. Another method to cover tracks is by using reverse HTTP shells. A shell is a code that executes user commands on a system. We will talk more about this in later chapters. In most compu"
Python Ethical Hacking from Scratch.pdf,37,4,"ters, port 80 is used for HTTP packets; therefore, port 80 is open a lot of time in computers. It is very hard for firewalls to distinguish between legitimate and malicious packets over port 80. Using HTTP-based reverse shells, forensic analysts have a very hard time distinguishing hackers. Once the hacker has gained access to the system, they will run various commands over the command-line interface. Once the objective is achieved, the hacker usually delet"
Python Ethical Hacking from Scratch.pdf,37,5,es the command history in order to avoid detection. This is done using the export HISTSIZE=0 command in Linux-based systems. Reporting The last phase of penetration testing or ethical hacking is to compile a report about all the weaknesses of the system as well as the achieved objectives of the penetration test. The pen-test report should list out all the necessary details regarding the attack. A penetration test report usually contains the following items.
Python Ethical Hacking from Scratch.pdf,38,1,Hacking phases and methodology 25 Summary The summary should summarize the pen-test briefly. It should explain the main reason for the pen-test. The following points should be considered while writing a summary report for a pen-test: • The purpose and objectives of the pen-test • The scope of the pen-test • A brief list of the tests performed • The findings of the pen-test • The conclusion of the pen-
Python Ethical Hacking from Scratch.pdf,38,2,"test These tasks are explained as follows. Introduction In the introduction section, all the relevant information about the test environment should be explained. It should mention the timeline of the pen-test from the start to the end. How long did the pen-test take? It should mention the methodology and approach used to perform the pen-test. Which systems were targeted during the pen-test and finally"
Python Ethical Hacking from Scratch.pdf,38,3,", what kind of tests were performed? Methodology In this section, we should list all the procedures and methods used to attack the target. For example, how did we get information about the target and what information did we get? How was this information used in carrying out the attack? Which methods of delivering the payload were used? For example, did the attacker send a malicious PDF file to the tar"
Python Ethical Hacking from Scratch.pdf,38,4,"get? It should also mention the difficulty level for the attacks, that is, which aspects were easy to attack and which sections were hard. Findings The findings section should mention the vulnerabilities and threats detected in the pen-test. It is a good idea to divide the number of vulnerabilities found into different levels based on their severity level. An example of this test would be to perform a"
Python Ethical Hacking from Scratch.pdf,38,5," vulnerability scan on the devices and detect whether any vulnerable service is running on the system. Finally, the findings should also mention the positives of the system as well, for example, strong firewall configuration and strong passwords. For serious vulnerabilities and threats, in-depth details should be mentioned. It is a good idea to attach necessary screenshots and findings to the document."
Python Ethical Hacking from Scratch.pdf,39,1,"26 Introduction to Hacking Careers in cybersecurity Cybersecurity is a huge field and writing about every aspect of it would probably require another book. However, I will try to explain major trends in cybersecurity and what kind of skills you will need to master it. Some of the more common careers are listed in the following sections, although this is by no means an exhaustive list. Systemssecurityadministration Just like a system administrator whose job i"
Python Ethical Hacking from Scratch.pdf,39,2,"s to maintain and administer systems in an organization, the goal of a system security administrator is to focus on the administration of the system's security. Their job is to perform daily security tasks, such as system monitoring and backup management. Securityarchitect Networks are one of the most important aspects of modern computer systems and more often than not, they are the entry point for attackers into an organization, thus managing, maintaining, a"
Python Ethical Hacking from Scratch.pdf,39,3,"nd securing the network is extremely important for organizations. The job of the security architect includes problem reporting, breach analysis, and so on. Penetration tester As mentioned earlier, the goal of a penetration tester is to test the strength of an organization's defenses. In simple words, the goal of a penetration tester is to hack into the system and gain unauthorized access. The job of a penetration tester also includes detecting system vulnerabi"
Python Ethical Hacking from Scratch.pdf,39,4,"lities. Sometimes, penetration testers also work in incident response teams to defend against real threats. Penetration testers are often tasked with designing their own tools focused on the organization's requirements. Most of this book will follow the rough footsteps to become a penetration tester. A penetration tester is one of the highest-paid jobs in cybersecurity and requires a lot of skill. Forensicanalyst As the name indicates, the job of a computer f"
Python Ethical Hacking from Scratch.pdf,39,5,orensic analyst is to evaluate the digital assets and review the evidence in the case of a system breach. Their tasks include securing digital and physical proofs after a breach to be used in the analysis as well as to be potentially used in court against hackers. Forensic computer analysts must be sensitive to the security concerns of their employers or clients and follow closely all the privacy procedures when dealing with financial and personal information.
Python Ethical Hacking from Scratch.pdf,40,1,"Types of attacks 27 Chiefinformationsecurityofficer The chief information security officer (CISO) is usually an executive position. The CISO's job is to oversee the planning, coordinating, and directing of the system, network, and data security needs of the organization. Their job is to ensure security compliance, evaluate the threat landscape, and devise policies and controls to ensure the safety of the organization. Types of attacks Ther"
Python Ethical Hacking from Scratch.pdf,40,2,"e are several different types of cyber-attacks depending on how they are executed. The nature of these attacks can vary depending on various factors such as the intentions of the attacker and the tools that are used for the attack. More often than not, the purpose of these attacks is to either gain complete control of the system, to steal sensitive information, or both. Systemcontrol Attacks would often like to take charge of the victim's co"
Python Ethical Hacking from Scratch.pdf,40,3,"mputer and play around with it. This could either mean rendering the system useless for the victim or making a stealth attempt to gain access without the victim knowing about it. A very famous set of attacks in this category are called remote access tool attacks. These attacks provide the attacker with complete or near-complete control of the victim's PC remotely. We have already discussed forward and reverse shells, which are used for these "
Python Ethical Hacking from Scratch.pdf,40,4,"purposes quite frequently. Social engineering Another popular kind of attack that often requires little to no technical knowledge is social engineering. In simple terms, social engineering means manipulating or tricking someone into giving you the information. Instead of writing lengthy code and exploiting technical weaknesses of the system, you can simply trick the person into giving you information to carry out a cyber-attack. There are two"
Python Ethical Hacking from Scratch.pdf,40,5," fundamental aspects of cybersecurity: one is a technical aspect and the other is a human aspect. A security system is as good as its weakest link. More often than not, the weakest link in the security of the system is people. No system is secure if you have the key to breaking it. Social engineering is not as simple as it seems. It requires patience and attention to detail. Some of the more common social engineering tricks are explained next."
Python Ethical Hacking from Scratch.pdf,41,1,"28 Introduction to Hacking Baiting Baiting simply means luring the target to bait and then waiting for the target to make a mistake. For example, hackers often drop USB drives filled with malware near the offices of organizations and wait until some employee gets curious and plugs the USB into their computer. Once they do so, the rest of the job is done by the malware. Phishing Phishing "
Python Ethical Hacking from Scratch.pdf,41,2,"is an attack technique in which attackers impersonate someone the target trusts. Usually, they try to take advantage of people's interests. For example, if someone is a football fan, they are more likely to open an email or a link related to the topic of football and thus provide the attacker with a means to attack the victim. A common example of this attack is clone websites hosted by t"
Python Ethical Hacking from Scratch.pdf,41,3,"he attacker. An attacker would send a fake link to the target that resembles a website known to the target. However, the website will be hosted by the attacker and instead of going to the real website, the target will be directed to this website. These cloned websites look very similar to the original ones and if you are not careful, it is very hard to distinguish. Since this cloned webs"
Python Ethical Hacking from Scratch.pdf,41,4,"ite is operated by the hacker, any data that the user enters goes to the hacker. A good way to detect these fake websites is to check the website name along with the protocol. A real website will mostly operate on the https protocol. Summary In this chapter, we learned about the basics of hacking and the different types of hackers in the real world. We then examined the hacking steps in "
Python Ethical Hacking from Scratch.pdf,41,5,"detail and what each of these steps entails. At the end, we saw what the different careers in cybersecurity are and how this book can help us in these careers. Lastly, we explored the different aspects of social engineering and how it can be used to carry out attacks. In the next chapter, we will start learning about how to set up our lab environment and what tools we will use in this book."
Python Ethical Hacking from Scratch.pdf,42,1,"2 Getting Started – Setting Up a Lab Environment Before we start going into the details of how to start ethical hacking, we need to configure a couple of things. In this section, we will learn what tools"
Python Ethical Hacking from Scratch.pdf,42,2," are needed to complete this book. Most of the tools we will be using in this book are available for free. We will start by selecting the Python version used in this book. Then, we will shift our focus t"
Python Ethical Hacking from Scratch.pdf,42,3,"o the Integrated Development Environments (IDEs ) used in this book. We will also learn how to set up virtual environments and understand how they can be useful. Later, we will dive into selecting Operat"
Python Ethical Hacking from Scratch.pdf,42,4,ing Systems (OSes) both for the attacker as well as the target/victim. We will explore different OSes and finally settle on the ones we will use in this book. We will also test a sample Python script at 
Python Ethical Hacking from Scratch.pdf,42,5,"the end to check that everything is configured properly and see whether we are good to go. In this chapter, we'll go through the following topics: • Setting up VirtualBox • Installing Python • Exploring IDEs"
Python Ethical Hacking from Scratch.pdf,43,1,"30 Getting Started – Setting Up a Lab Environment • Setting up networking • Updating Kali Linux • Using virtual environments Technical requirements In order to complete this chapter, you will need a decent working PC with sufficient hard disk space and memory to run two virtual OSes. As a rough estimate, 100 GB storage and 8 GB RAM "
Python Ethical Hacking from Scratch.pdf,43,2,"should be sufficient. The source code for the project is located at the following link: https://github.com/ PacktPublishing/Python-Ethical-Hacking . Setting up VirtualBox As mentioned earlier, we will be configuring our setup for penetration testing (pen testing) in this chapter. The first thing we will need is virtualization softwa"
Python Ethical Hacking from Scratch.pdf,43,3,"re. Virtualization software helps us to run a complete OS on top of our existing OS. The main advantage of virtualization is that you can run a complete OS without needing to buy additional physical hardware, such as a PC, while enjoying all the features that come with such hardware. Once we move forward, you will understand these a"
Python Ethical Hacking from Scratch.pdf,43,4,"dvantages in more detail. Here's a list of popular virtualization software: • VMware Workstation Player • VirtualBox Though there are other options available, I recommend using one of these. I will be using VirtualBox in this book since it is free. VMware Player is also free, but it can't be used commercially without proper licensin"
Python Ethical Hacking from Scratch.pdf,43,5,"g. To download VirtualBox, go to the following link: https://www.virtualbox.org/ wiki/Downloads . There you will find the link to download it. Follow these steps: 1. Choose the VirtualBox installation package for Windows and download it. 2. Once downloaded, open the installer and follow the instructions to install it on your system."
Python Ethical Hacking from Scratch.pdf,44,1,"Installing virtual OSes 31 The installation process should be fairly simple. During installation, it may ask you for permission to install certain drivers. Please allow the installer to install these drivers as well. Once installed, the interface should"
Python Ethical Hacking from Scratch.pdf,44,2," look something like this: Figure 2.1 – VirtualBox interface Setting up the virtualization software gives us a foundation on which to build our lab. Going forward, we'll use this foundation to build the components needed to run the lab. Up next, we'll l"
Python Ethical Hacking from Scratch.pdf,44,3,"ook at OSes and choose and configure what we need. Installing virtual OSes We will need one OS to be used as an attack machine and one to be used as a target machine. In practical cases, most of the time, the attack machine is mostly a Linux distributio"
Python Ethical Hacking from Scratch.pdf,44,4,"n-based system and the target/victim machine will be a Windows-based system. We will use the term target and victim interchangeably throughout this book. Attack machine OS There are a lot of options for a pen testing machine. However, there are a few Li"
Python Ethical Hacking from Scratch.pdf,44,5,"nux-based distributions that stand out: • Kali Linux • Parrot OS There are other options as well. However, I recommend using Kali Linux, since it's stable and widely used for pen testing. Kali has a lot of tools preconfigured, which can save a lot of time."
Python Ethical Hacking from Scratch.pdf,45,1,"32 Getting Started – Setting Up a Lab Environment KaliLinux To download a virtual image for Kali Linux, go to Kali's download page: https://www. kali.org/downloads/ . Let's begin the installa"
Python Ethical Hacking from Scratch.pdf,45,2,"tion process: 1. In the Download section, select Kali Linux 64-bit VirtualBox. This is a complete image of an already-installed Kali OS, so you will not need to install anything: Figure 2.2 – "
Python Ethical Hacking from Scratch.pdf,45,3,"Kali Linux VirtualBox image 2. The download should take some time depending on your internet speed. Once the image is downloaded, simply import the downloaded image into VirtualBox. To import "
Python Ethical Hacking from Scratch.pdf,45,4,"the Kali machine, click on the Import button in the To ols tab, as shown in the following screenshot: Figure 2.3 – Importing the Kali virtual machine 3. This will open a dialog box and you can"
Python Ethical Hacking from Scratch.pdf,45,5," select the kali machine ova file you just downloaded. During boot, you will be asked for the password to log in to the Kali Linux system. The default credentials for the image are as follows:"
Python Ethical Hacking from Scratch.pdf,46,1,"Installing virtual OSes 33 Important note Y ou may need to disable USB 2 support in the settings to properly start the machine. Once the system is started, it should look like this: Figure"
Python Ethical Hacking from Scratch.pdf,46,2," 2.4 – Kali Linux home screen Now that we've set up our attacker machine, let's move on to the machine for the victim. VictimmachineOS For the victim machine, we will use Windows 10 as o"
Python Ethical Hacking from Scratch.pdf,46,3,"ur OS. Here you have two options; either you can install a Windows 10 OS from scratch using an ISO file or you can download a prebuilt image for VirtualBox. The second option is easier, an"
Python Ethical Hacking from Scratch.pdf,46,4,"d I recommend using that. However, the downside of this is that it is quite large, around 20 GB, and can only be used for 90 days, after which it expires. This time should be enough for mo"
Python Ethical Hacking from Scratch.pdf,46,5,"st purposes, however. If your needs go beyond the 90-day period, you can manually install Windows 10 on VirtualBox. There are a lot of tutorials available on the internet for this purpose."
Python Ethical Hacking from Scratch.pdf,47,1,34 Getting Started – Setting Up a Lab Environment Let's go with the prebuilt option for this chapter. Use the following link to
Python Ethical Hacking from Scratch.pdf,47,2, download the prebuilt image: https://developer.microsoft.com/en-us/windows/ downloads/virtual-machines/ . Let's look at how to
Python Ethical Hacking from Scratch.pdf,47,3," use this in VirtualBox: 1. Once you have downloaded the Windows 10 VirtualBox image, go to VirtualBox and click on Add . 2. A "
Python Ethical Hacking from Scratch.pdf,47,4,"dialog box will open; select the Windows 10 image you just downloaded. If you performed the steps properly, your Windows 10 sho"
Python Ethical Hacking from Scratch.pdf,47,5,uld be up and running now. The VirtualBox interface for virtual Windows should look like this: Figure 2.5 – Windows virtual machine
Python Ethical Hacking from Scratch.pdf,48,1,Installing virtual OSes 35 The topology of our system will look like this: Figure 2.6 – Host Win
Python Ethical Hacking from Scratch.pdf,48,2,"dows 10 OS Once the virtual OSes are installed, the VirtualBox software will look like this: Fig"
Python Ethical Hacking from Scratch.pdf,48,3,"ure 2.7 – VirtualBox Until now, we have installed the virtual OSes on our host machines. Next, w"
Python Ethical Hacking from Scratch.pdf,48,4,e will focus on configuring these machines to our liking so we can use them for the remainder of
Python Ethical Hacking from Scratch.pdf,48,5," this book. In the next section, we will download and install Python 3 on these virtual machines."
Python Ethical Hacking from Scratch.pdf,49,1,"36 Getting Started – Setting Up a Lab Environment Installing Python The next thing we will need to set up in this chapter is Python. We will be using Python version 3, or python3 , in this book. Python 3 is a major version of Python and it is incompatible"
Python Ethical Hacking from Scratch.pdf,49,2," with the older version 2. To download Python, go to https://www. python.org/ and download the latest version. At the time of writing, Python 3.8 is the recommended version; however, every Python version above 3.2 should be fine for this book. The 64-bit "
Python Ethical Hacking from Scratch.pdf,49,3,"version of Python is recommended. I will be assuming that you are using Windows as the main OS; however, the code mentioned in this book should work on Linux and macOS as well since we will be running virtual machines. InstallingPythononWindows The pro"
Python Ethical Hacking from Scratch.pdf,49,4,"cedure for installing Python on Windows is fairly simple. Open the Windows 10 virtual machine you just installed in the Installing virtual OSes section. Note that from now on, most of the work will be done on these virtual machines and not the guest OS ho"
Python Ethical Hacking from Scratch.pdf,49,5,"sting these virtual machines. During installation, just check the Add Python 3.8 to PAT H option (the version number will depend on the version you downloaded) so that you can access Python from anywhere in Command Prompt: Figure 2.8 – Python installation"
Python Ethical Hacking from Scratch.pdf,50,1,"Installing Python 37 Once you've selected this option highlighted in Figure 2.8, click on Install Now. Once the installation is complete, close the installation window and open a terminal/Command Prompt. Inside"
Python Ethical Hacking from Scratch.pdf,50,2," Command Prompt, just enter the python command. Y ou should see the following output in the terminal. The Python shell should be open now: Figure 2.9 – Python shell Now that we've set up Python in Windows, let'"
Python Ethical Hacking from Scratch.pdf,50,3,"s move on to the Kali installation and set it up there as well. InstallingPythononKaliLinux Most pen testing OSes come with Python already installed. To check whether your distribution has Python installed,"
Python Ethical Hacking from Scratch.pdf,50,4, open Kali and search for Terminal . Open terminal and write the following command in the terminal: python --version Y ou should see the following output: Figure 2.10 – Python version The preceding result shows
